# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 16:37:12
# human 候选池（热钱包提币接收方，待探针筛活跃度）
# 全部接收方 2,316,827 个，按收到提币次数降序预排序取 15,000 个进探针
# 🔴 只按活动量筛，不看时间分布（反循环设计）
# 区块 42755201-50819862 | seed=42
address,source,note,n_from_cex
0x188728b4590c1fa2d2e880f7e5b35f5182c1a001,base_cex_withdrawal,wd=213,213
0xee271f9ee82f01282b95a021a17a473abbad1994,base_cex_withdrawal,wd=212,212
0xc35eef2f10de9accfb6bb5bd10deac517069ba1f,base_cex_withdrawal,wd=211,211
0xb186dce260e9c75e0885fef700391f21c53a0dff,base_cex_withdrawal,wd=211,211
0x190a0e96b67fc05c39c1d093b0f9419147ff1872,base_cex_withdrawal,wd=210,210
0x51582dcef28aea484dd87933324a55482882ce17,base_cex_withdrawal,wd=210,210
0x47c043824fc633d566f01ecd78ab3797fb7fc9d2,base_cex_withdrawal,wd=210,210
0x03ea2f5cc492e705be467eaa3fd3d42187485c87,base_cex_withdrawal,wd=210,210
0x2224fd3e9ef9195956a8f6a3c9c103878e11b426,base_cex_withdrawal,wd=210,210
0x4c46b6d191ae69ca9814965498c7975aebcb0ac7,base_cex_withdrawal,wd=209,209
0xe9ac227f37dc85f3007cdd45bf7b95965608beeb,base_cex_withdrawal,wd=209,209
0xd698c2f165ce3cd67a7e07766af0825b20f88917,base_cex_withdrawal,wd=209,209
0x94848f408c906d50128627f3d898b678927199dc,base_cex_withdrawal,wd=209,209
0x5effaa9610307d5c4c681e60c181eea123851d34,base_cex_withdrawal,wd=209,209
0x03d1eba5a2e553762306d5b2e75f5555f4066b44,base_cex_withdrawal,wd=209,209
0x7d396df353d9d2f10cde44e321cf6c60705f3cc3,base_cex_withdrawal,wd=209,209
0x377efeb9f98b50f4c98f8f637161b512eb873689,base_cex_withdrawal,wd=209,209
0xf2a0476d59377b342c10371ad22838cf8fa432f6,base_cex_withdrawal,wd=209,209
0xeeeb68c92415c1e41ee89d743d104b0f246425a7,base_cex_withdrawal,wd=208,208
0xf354c2665a6d7c9d290fe8d746e5e212b555ee24,base_cex_withdrawal,wd=208,208
