# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 01:29:56
# x402 Facilitator/提交者画像（采样切片配对金额）
# kind=x402: 均单 ≤$5（微支付网关）
# kind=retail: 均单 ≥$20（零售中继，其付款方大概率不是 agent）
# 🔴 这些地址必须从 agent 样本中排除；retail 型用于装配端剔除被污染的付款方
# 窗口 42755201-50819862 | 6 切片 × 3000 块
address,source,note,n_settled,avg_usd,n_payers,kind
0x8f850b3b5d398080cc39f4b02bf9b5837f790f92,x402_facilitator,settled=2 avg=$2220.9950 payers=2 kind=retail,2,2220.995,2,retail
0xc2e0254fbb74f384136865299dbc4b85ca2e2f1f,x402_facilitator,settled=2 avg=$0.0100 payers=1 kind=x402,2,0.01,1,x402
0xa6ef088b806ad009dac53f4b9b65e08cce12e01d,x402_facilitator,settled=2 avg=$30.7800 payers=1 kind=retail,2,30.78,1,retail
0x127ea6d11fa6671e8406312e6d888bfebfa5b24a,x402_facilitator,settled=2 avg=$22.8500 payers=2 kind=retail,2,22.85,2,retail
0xb578b7db22581507d62bdbeb85e06acd1be09e11,x402_facilitator,settled=2 avg=$0.0505 payers=1 kind=x402,2,0.0505,1,x402
0x1fc230ee3c13d0d520d49360a967dbd1555c8326,x402_facilitator,settled=2 avg=$0.0010 payers=1 kind=x402,2,0.001,1,x402
0x433705768549b21d1e681fe454a7d2ff26a22e1c,x402_facilitator,settled=2 avg=$27.1300 payers=2 kind=retail,2,27.13,2,retail
0x43370108f30ee5ed54a9565f37af3be8502903f5,x402_facilitator,settled=2 avg=$100.0000 payers=2 kind=retail,2,100.0,2,retail
0x65cad10818b93fc22d3f6cba5f462ef0a8100ec1,x402_facilitator,settled=2 avg=$99.0000 payers=2 kind=retail,2,99.0,2,retail
0x80c08de1a05df2bd633cf520754e40fde3c794d3,x402_facilitator,settled=2 avg=$0.1000 payers=2 kind=x402,2,0.1,2,x402
0x45b093c1d796df7ec05dc713efbe3f443c85c0d6,x402_facilitator,settled=2 avg=$262.5000 payers=1 kind=retail,2,262.5,1,retail
0xe59f842e6ed92862e9b7970d19d9d7b886f080f7,x402_facilitator,settled=2 avg=$2.6250 payers=2 kind=x402,2,2.625,2,x402
0x8437cc1410f8e817c1441e2e9ff5c359825641a8,x402_facilitator,settled=2 avg=$10.5000 payers=2 kind=mixed,2,10.5,2,mixed
0x54c779edd9bb65b4e26d361e3bbaffbcb6f84b12,x402_facilitator,settled=2 avg=$42.0000 payers=1 kind=retail,2,42.0,1,retail
0x433704940ad127f33b441418a3c17e4c47e45393,x402_facilitator,settled=2 avg=$50.0000 payers=2 kind=retail,2,50.0,2,retail
0x6280f5a91a3781933728e026da59b9fa7ef72e79,x402_facilitator,settled=2 avg=$6.8250 payers=2 kind=mixed,2,6.825,2,mixed
0xec7cbb4753acf2d264aad8f16d346637a8315d32,x402_facilitator,settled=2 avg=$21.0000 payers=2 kind=retail,2,21.0,2,retail
0x5f34815add697d7de0a8b850f23905cf12b4bdc0,x402_facilitator,settled=2 avg=$600.0000 payers=1 kind=retail,2,600.0,1,retail
0xe91b564eb8dff305ff8efa332f84c487b9da5171,x402_facilitator,settled=2 avg=$379.5000 payers=2 kind=retail,2,379.5,2,retail
0xe478fd2755d50513d3b091121971dd37e36c9dd7,x402_facilitator,settled=2 avg=$7.2550 payers=2 kind=mixed,2,7.255,2,mixed
0x8569b39f9b12059972b1d6b3d215473f3556b987,x402_facilitator,settled=2 avg=$5.7750 payers=2 kind=mixed,2,5.775,2,mixed
0x3f4e1a3f21a90af960acc652e9bf8dd7a21f3964,x402_facilitator,settled=2 avg=$2792.8400 payers=2 kind=retail,2,2792.84,2,retail
0xd798be9cfbf071abdca269c21a2f421c9e3f8751,x402_facilitator,settled=2 avg=$9.4500 payers=1 kind=mixed,2,9.45,1,mixed
0x28a16bb5048f50605831afe2b73aa8bfb93b4ae5,x402_facilitator,settled=2 avg=$5.0450 payers=2 kind=mixed,2,5.045,2,mixed
0x5ed53f5a6ba8bc0457cde371a2d1fb3cdf9df6c0,x402_facilitator,settled=2 avg=$7.8750 payers=2 kind=mixed,2,7.875,2,mixed
0xf345347804846353206c42b9e196097a12c67b34,x402_facilitator,settled=2 avg=$34.0250 payers=2 kind=retail,2,34.025,2,retail
0x35ecd1a2ccf8e589143aa24c3aeb2df297739dba,x402_facilitator,settled=2 avg=$139.6450 payers=2 kind=retail,2,139.645,2,retail
0x44e30506669dbe1a62debeb49b719d16cb7b3432,x402_facilitator,settled=2 avg=$20.8150 payers=2 kind=retail,2,20.815,2,retail
0x45b70239bde936f51b1e784224d4a1d5a77a2d94,x402_facilitator,settled=2 avg=$47.2500 payers=2 kind=retail,2,47.25,2,retail
0xc629b6e0cb4b549d684a70e61bebbf073a56e701,x402_facilitator,settled=2 avg=$227.7450 payers=2 kind=retail,2,227.745,2,retail
0x2e36bbc306c906f806e8e5134f4427e74424f632,x402_facilitator,settled=2 avg=$0.0010 payers=1 kind=x402,2,0.001,1,x402
0x0e0fbc5905bfa3a3f26fd4c7458b1abf06defe15,x402_facilitator,settled=2 avg=$0.0010 payers=1 kind=x402,2,0.001,1,x402
