# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 16:37:10
# x402 付款方（agent 弱正样本，真值质量 ★★）
# ★ 全窗口 AuthorizationUsed 扫描（sweep_window main 趟）
#   去重付款方 504,668 个，其中窗口内 ≥20 次的 23,897 个（低于门槛的不写入）
# avg_usd=-1: 金额提纯改用提交者画像（fetch_x402 --profile，见 x402_facilitators.csv）
# 区块 42755201-50819862
address,source,note,n_payments,avg_usd,n_sellers,bad_share,top_submitter
0x5a75581968933bd4cb3d35285ac5db814526dda3,x402_payer,n=15669 span=27d bad=0 submitters=5,15669,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0xcaae474a29e93946c581b8fa7113a138f4602a71,x402_payer,n=15553 span=61d bad=0 submitters=5,15553,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0xe7f0d929b60fbf33ecab60abedc40ff7d997cd58,x402_payer,n=15433 span=108d bad=0 submitters=2,15433,-1,-1,0.0,0x7f72a02c682e908d46a5677fe937cdb612d94a3b
0x8feea4e2d8090809087c1a552cba77aa15088d68,x402_payer,n=15340 span=5d bad=0 submitters=20,15340,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0x935bb3c07085b8ac5d2f1de5f12d3d80062d8d61,x402_payer,n=15283 span=18d bad=0 submitters=5,15283,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0x731077ff97c4d61937e61fabd1294b0c19f65c13,x402_payer,n=15222 span=60d bad=0 submitters=6,15222,-1,-1,0.0,0xe166267c3648b5ca4419f2c58faed8cd4df87d54
0xee66ce551772d0c6ad720b7d681c7786f66f2f77,x402_payer,n=15152 span=27d bad=0 submitters=5,15152,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0xca0aa070354ebbb91ee2c29c69e299a496652d7a,x402_payer,n=14925 span=86d bad=0 submitters=21,14925,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x4db3ac1c9875db6e1f2b50fd476d6311ca8afa6d,x402_payer,n=14894 span=82d bad=0 submitters=20,14894,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0xbeadec1dca119949a626ced05746ff42ef30e66c,x402_payer,n=14847 span=131d bad=0 submitters=20,14847,-1,-1,0.0,0x97acce27d5069544480bde0f04d9f47d7422a016
0x2ae09b86a673929c9371e7f1e4f865ec0fefceec,x402_payer,n=14647 span=5d bad=0 submitters=5,14647,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0xa3e42ded0b86c58db4552dc16bbf0875a40ca715,x402_payer,n=14517 span=9d bad=0 submitters=5,14517,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0x34913a202138c83d0ed5fca84e15da456d24402e,x402_payer,n=14387 span=148d bad=0 submitters=20,14387,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0xaf9b43bdc05fc6609515f3290693dde77a2bb3e3,x402_payer,n=14374 span=102d bad=0 submitters=18,14374,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0xc609a2e2a929874fc55b8033d94d0f5595980918,x402_payer,n=14189 span=6d bad=0 submitters=20,14189,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x07b086318df48faaadf595f65c8baa0a54789c0d,x402_payer,n=13940 span=27d bad=0 submitters=5,13940,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0x6687dc077965465ccd50c9947e99cd6e732299e6,x402_payer,n=13919 span=6d bad=0 submitters=20,13919,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0xeb0e5ebee1c0cf196d44d3e31897b68f1d354f69,x402_payer,n=13856 span=83d bad=0 submitters=21,13856,-1,-1,0.0,0x13bfc43fbcd63c4644bbb672a8d13a3b550eb9a7
0xcc8c44ad3dc2a58d841c3eb26131e49b22665ef8,x402_payer,n=13849 span=182d bad=0 submitters=21,13849,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x2e6426476fce6b7a82fa89472cb2b6442c6e18ad,x402_payer,n=13479 span=3d bad=0 submitters=5,13479,-1,-1,0.0,0x97acce27d5069544480bde0f04d9f47d7422a016
